recall_of_C,mean_relative_error_of_A,eb_now,iteration,mean_relative_error_overall,invocation_truly,mean_relative_error_of_A_with_C,accuracy_of_C,invocation_of_C
0.988509349211,0.021927342597,0.1,0,0.0144397731214,0.9573,0.015091210369,0.978466666667,0.956833333333
0.998416414211,0.0292099940875,0.1,1,0.00903849946276,0.968266666667,0.00932733596652,0.996166666667,0.969033333333
0.998867419432,0.0304860803518,0.1,2,0.0104993902724,0.971233333333,0.0107992494317,0.9968,0.972233333333
0.997810066741,0.0417755920581,0.1,3,0.0201148674553,0.958933333333,0.0209813992441,0.996033333333,0.9587
0.998011928429,0.0324392529228,0.1,4,0.00881352580221,0.9557,0.00923204518388,0.997233333333,0.954666666667
0.999103077135,0.0352934356099,0.1,5,0.013290141833,0.966266666667,0.0137583855547,0.998566666667,0.965966666667
0.999275812125,0.0327540933904,0.1,6,0.0110560758654,0.9666,0.0114321950837,0.9981,0.9671
0.999587841319,0.0354370739533,0.1,7,0.0139838641612,0.9705,0.0144054640765,0.998966666667,0.970733333333
0.999106682701,0.0299817970494,0.1,8,0.00869658066398,0.970166666667,0.00896000480525,0.997833333333,0.9706
0.99910793934,0.0373624916297,0.1,9,0.0163599930897,0.971533333333,0.0168405089449,0.998333333333,0.971466666667
0.999828966272,0.0276951774576,0.2,10,0.0067839533175,0.974466666667,0.00696123271052,0.9996,0.974533333333
0.999829526083,0.0308020710011,0.2,11,0.012503256863,0.977666666667,0.0127884390539,0.999633333333,0.9777
0.999795744681,0.0273446762629,0.2,12,0.0104933329005,0.979166666667,0.0107176898752,0.9997,0.979066666667
0.999796188729,0.0324118395833,0.2,13,0.0171008963299,0.9813,0.0174291452318,0.999733333333,0.981166666667
0.999830330177,0.0270824509663,0.2,14,0.0129359880971,0.9823,0.0131690808278,0.999666666667,0.9823
0.999286199864,0.0335237955827,0.2,15,0.019283266556,0.980666666667,0.0196514028358,0.998,0.981266666667
0.999932148188,0.0268801606671,0.2,16,0.013022881072,0.982533333333,0.013251693649,0.999666666667,0.982733333333
0.999626333311,0.0329342514643,0.2,17,0.0189642951178,0.981266666667,0.0193178110602,0.998833333333,0.9817
0.99989826025,0.0286228012662,0.2,18,0.0151192901961,0.9829,0.0153791986533,0.9996,0.9831
0.999796506698,0.0235271102152,0.2,19,0.0101179336612,0.982833333333,0.0102953569798,0.999666666667,0.982766666667
0.999830795262,0.0224127546646,0.3,20,0.00967419478953,0.985,0.00982317968136,0.999833333333,0.984833333333
