recall_of_C,mean_relative_error_of_A,eb_now,iteration,mean_relative_error_overall,invocation_truly,mean_relative_error_of_A_with_C,accuracy_of_C,invocation_of_C
0.974153659031,0.233960289846,0.1,0,0.0270930383255,0.657733333333,0.0413234607638,0.9681,0.655633333333
0.993088194636,0.289282030708,0.1,1,0.0263361553839,0.602833333333,0.0425967576836,0.976233333333,0.618266666667
0.992871576111,0.310413641079,0.1,2,0.0271040743262,0.593866666667,0.0447631285321,0.9799,0.6055
0.994117314328,0.312774339767,0.1,3,0.0179181778316,0.5893,0.0300590133059,0.986266666667,0.5961
0.984893696382,0.326882093438,0.1,4,0.0291852160378,0.5362,0.0526207392952,0.965366666667,0.554633333333
0.996444022995,0.321670897944,0.1,5,0.0234461328463,0.562433333333,0.0407924366635,0.983666666667,0.574766666667
0.991398877076,0.345760150513,0.1,6,0.0238364685002,0.558066666667,0.041980395386,0.980666666667,0.5678
0.994116189768,0.356905245149,0.1,7,0.0210390529267,0.5382,0.0379378245958,0.9773,0.554566666667
0.998020047024,0.358851922335,0.1,8,0.0156154435716,0.538733333333,0.0281748545827,0.982366666667,0.554233333333
1.0,0.367901261699,0.1,9,0.0155771038926,0.534133333333,0.0285486661847,0.9885,0.545633333333
0.994715835629,0.366197492921,0.2,10,0.028991159026,0.592966666667,0.0490516480052,0.995666666667,0.591033333333
0.995288509506,0.3434113039,0.2,11,0.0199459499401,0.601366666667,0.0332580312473,0.995966666667,0.599733333333
0.994604712618,0.338065956965,0.2,12,0.0197341243336,0.605466666667,0.0327048795718,0.995533333333,0.6034
0.998334536168,0.344468852567,0.2,13,0.0230998494238,0.600433333333,0.0385361442871,0.999,0.599433333333
0.992859478905,0.349328422098,0.2,14,0.0295202750918,0.611533333333,0.0486197229071,0.995633333333,0.607166666667
0.998294424901,0.329069858153,0.2,15,0.022021044465,0.6254,0.035211136017,0.997866666667,0.6254
1.0,0.334534969124,0.2,16,0.0253521567466,0.621166666667,0.0407416275122,0.9989,0.622266666667
1.0,0.340469493728,0.2,17,0.025887339696,0.608766666667,0.0425242397678,1.0,0.608766666667
1.0,0.341266853495,0.2,18,0.0235428873255,0.605666666667,0.0388710302567,1.0,0.605666666667
1.0,0.350229332483,0.2,19,0.0280094585892,0.6017,0.0464733011269,0.999,0.6027
0.990987780041,0.330503786809,0.3,20,0.03106240524,0.654666666667,0.0477222388078,0.991966666667,0.6509
0.972005687111,0.307691287122,0.3,21,0.0277840913319,0.6799,0.0419699264833,0.979833333333,0.662
0.975304998032,0.308520339036,0.3,22,0.0298561044491,0.6776,0.0450998556633,0.982133333333,0.662
0.995710582135,0.299669046461,0.3,23,0.0460002462167,0.707166666667,0.0648438768209,0.9917,0.7094
0.995618047864,0.308073215758,0.3,24,0.0470406314156,0.692233333333,0.0678535889252,0.9929,0.693266666667
0.995586594888,0.304790719938,0.3,25,0.0407258452185,0.6873,0.0591658768307,0.9929,0.688333333333
0.992555134148,0.28527724512,0.3,26,0.0376659644667,0.7119,0.0530680943972,0.991533333333,0.709766666667
0.995724889599,0.282288790572,0.3,27,0.0357222193391,0.709533333333,0.0503366171993,0.9938,0.709666666667
