recall_of_C,mean_relative_error_of_A,eb_now,iteration,mean_relative_error_overall,invocation_truly,mean_relative_error_of_A_with_C,accuracy_of_C,invocation_of_C
0.883350805299,0.179481909701,0.1,0,0.0932691579266,0.699533333333,0.117655148339,0.7436,0.792733333333
0.854239101364,0.271370904027,0.1,1,0.0870465025919,0.623166666667,0.128538840213,0.7643,0.6772
0.841887226697,0.311744011815,0.1,2,0.0558177691209,0.579333333333,0.0950898962877,0.809133333333,0.587
0.858505002943,0.29301443488,0.1,3,0.0550090806849,0.566333333333,0.094777878506,0.825666666667,0.5804
0.836086566782,0.335104508938,0.1,4,0.04807792783,0.5206,0.0925346657406,0.830366666667,0.519566666667
0.877897009334,0.365013736673,0.1,5,0.0557355048286,0.524966666667,0.103411784579,0.8578,0.538966666667
0.849477566073,0.365968884508,0.1,6,0.0574643724627,0.542333333333,0.104165025612,0.8274,0.551666666667
0.840412961005,0.350658038917,0.1,7,0.0487169399955,0.535966666667,0.0918898585265,0.834733333333,0.530166666667
0.856275174222,0.349489516196,0.1,8,0.0445458479915,0.521366666667,0.085599246717,0.8511,0.5204
0.874145337932,0.353571242271,0.1,9,0.068284302192,0.5509,0.119093603032,0.838866666667,0.573366666667
0.762419993904,0.34643904489,0.05,10,0.0222980318099,0.437466666667,0.0542091535087,0.818266666667,0.411333333333
0.827000447027,0.416081346254,0.05,11,0.0158296338053,0.372833333333,0.0431325171807,0.876833333333,0.367
0.83721837511,0.436972433461,0.05,12,0.0202736304383,0.341766666667,0.0605604812456,0.895733333333,0.334766666667
0.849717183538,0.451882401074,0.05,13,0.0197785931673,0.3418,0.0602577226586,0.910833333333,0.328233333333
0.871428571429,0.44184139976,0.05,14,0.0153200146898,0.331333333333,0.0468740888009,0.9193,0.326833333333
0.873289708507,0.454340790519,0.05,15,0.0171051864529,0.3362,0.0522827909922,0.923833333333,0.327166666667
0.846065369501,0.445741639689,0.05,16,0.023300308899,0.347766666667,0.0696988001764,0.9064,0.3343
0.87678090104,0.45424748238,0.05,17,0.0250456021444,0.346266666667,0.0735193800718,0.920266666667,0.340666666667
0.87589592538,0.456993363487,0.05,18,0.0259675219983,0.3395,0.0768648899801,0.9174,0.337833333333
0.877892417109,0.450934908698,0.05,19,0.022645907999,0.332766666667,0.0691126388575,0.923833333333,0.327666666667
0.859994429487,0.443334639648,0.075,20,0.0292674294737,0.359033333333,0.0812382387316,0.898233333333,0.360266666667
0.862658576944,0.444447519653,0.075,21,0.0335599118875,0.3626,0.0919617607439,0.898066666667,0.364933333333
0.849138319949,0.441827173383,0.075,22,0.0304829731523,0.369433333333,0.0842769509324,0.896266666667,0.3617
0.839798789326,0.450631128328,0.075,23,0.0370711400467,0.390966666667,0.0960973128317,0.879933333333,0.385766666667
0.881916910877,0.440881632383,0.075,24,0.034579126659,0.386733333333,0.0893671433297,0.908466666667,0.386933333333
0.846452078262,0.457489035702,0.075,25,0.0318000695194,0.3697,0.086202411275,0.887266666667,0.3689
0.811053337806,0.440477329948,0.075,26,0.0350749114436,0.397466666667,0.0925215284718,0.868166666667,0.3791
0.857067556883,0.46200059725,0.075,27,0.0323221179107,0.379433333333,0.0854780974365,0.892833333333,0.378133333333
0.83336037644,0.443120539902,0.075,28,0.039934841674,0.410866666667,0.098393992298,0.868066666667,0.405866666667
0.86289245157,0.430291795288,0.075,29,0.0278273658013,0.3992,0.0703362519202,0.8941,0.395633333333
0.847752537458,0.431108578666,0.1,30,0.03140841833,0.4138,0.0784034406639,0.8872,0.4006
0.833708708709,0.434614830467,0.1,31,0.0477870397286,0.444,0.109720740231,0.8608,0.435533333333
