recall_of_C,mean_relative_error_of_A,eb_now,iteration,mean_relative_error_overall,invocation_truly,mean_relative_error_of_A_with_C,accuracy_of_C,invocation_of_C
1.0,0.14770561478,0.1,0,0.0191504046975,0.7699,0.024873885826,1.0,0.7699
0.997183098592,0.187026066083,0.1,1,0.028588079275,0.721833333333,0.0385786684472,0.976733333333,0.741033333333
0.994768879589,0.191197176764,0.1,2,0.0242897132329,0.700933333333,0.033674910901,0.9723,0.7213
0.995998493551,0.197812725148,0.1,3,0.0169539488758,0.708066666667,0.0234353990818,0.978966666667,0.723433333333
0.992807811384,0.206461317467,0.1,4,0.0204178118727,0.699833333333,0.0285138421087,0.9737,0.716066666667
0.997554322265,0.205490941484,0.1,5,0.0160254145987,0.708733333333,0.0221376082314,0.981366666667,0.7239
0.997002763078,0.207025279168,0.1,6,0.0171973307557,0.711766666667,0.0237827835095,0.9844,0.7231
0.997031485717,0.221724810031,0.1,7,0.027486502399,0.684966666667,0.0389253715997,0.974766666667,0.706133333333
0.989642822573,0.223117713063,0.1,8,0.0228334130259,0.688733333333,0.0325757271626,0.973533333333,0.700933333333
0.994894518832,0.218697748693,0.1,9,0.0222393997906,0.692066666667,0.0315900565207,0.981,0.704
0.989085215835,0.218897469363,0.2,10,0.0280775909018,0.745166666667,0.0380954152709,0.991866666667,0.737033333333
0.975396126761,0.204748340809,0.2,11,0.0185355329499,0.757333333333,0.0250299778761,0.979533333333,0.740533333333
0.987423596148,0.212632516405,0.2,12,0.0221611714811,0.758033333333,0.0294971003342,0.987666666667,0.7513
0.983218120951,0.213419916377,0.2,13,0.019923955378,0.7667,0.0264301862189,0.987133333333,0.753833333333
0.976468057647,0.20935530012,0.2,14,0.0261227974123,0.774833333333,0.0345265627972,0.981766666667,0.7566
0.980464350689,0.216351335058,0.2,15,0.0284422995706,0.769533333333,0.0376968847854,0.984966666667,0.7545
0.984819983376,0.21445346697,0.2,16,0.0194701167743,0.761966666667,0.025946317663,0.988433333333,0.7504
0.983281679689,0.218159840571,0.2,17,0.0272970529163,0.763633333333,0.0362430443677,0.984933333333,0.753166666667
