recall_of_C,mean_relative_error_of_A,eb_now,iteration,mean_relative_error_overall,invocation_truly,mean_relative_error_of_A_with_C,accuracy_of_C,invocation_of_C
0.997833243052,0.14646202939,0.1,0,0.0155216325231,0.799966666667,0.0193745933133,0.995366666667,0.801133333333
0.940263770365,0.166495398828,0.1,1,0.0261305401398,0.687466666667,0.0393334773805,0.941,0.664333333333
0.995418524022,0.140473708642,0.1,2,0.0202423650648,0.8076,0.0246697656786,0.979666666667,0.820533333333
0.995924369748,0.144979316887,0.1,3,0.0229968958402,0.793333333333,0.0287605000503,0.987266666667,0.7996
0.99214413799,0.155349219472,0.1,4,0.0277072276459,0.780733333333,0.0351674068953,0.9806,0.787866666667
0.992147881564,0.139269752399,0.1,5,0.0167322294551,0.815066666667,0.0205876008388,0.989533333333,0.812733333333
0.985378230766,0.153181209694,0.1,6,0.0235720301131,0.7751,0.0301715548849,0.971166666667,0.781266666667
0.994543267165,0.150993981941,0.1,7,0.0252309632857,0.7758,0.0318693485988,0.975633333333,0.7917
0.99469897766,0.146593762767,0.1,8,0.0205270349891,0.7923,0.0256513121037,0.983666666667,0.800233333333
0.996988329778,0.143079301404,0.1,9,0.0198262900415,0.7969,0.0246126252274,0.986566666667,0.805533333333
0.994105627161,0.146433025711,0.2,10,0.0260634060954,0.848266666667,0.0308747160063,0.9941,0.844166666667
0.992638421176,0.140578247929,0.2,11,0.0245513440838,0.851266666667,0.0289896612159,0.991833333333,0.8469
0.995161164442,0.143290059,0.2,12,0.027739572268,0.8542,0.0325594572574,0.993966666667,0.851966666667
0.996213646983,0.158741271512,0.2,13,0.0415997671464,0.827533333333,0.0498180916686,0.986233333333,0.835033333333
0.998553444366,0.147817275189,0.2,14,0.0313768382461,0.8526,0.0366352123991,0.993666666667,0.856466666667
0.997667707633,0.15166565157,0.2,15,0.0308602949904,0.843233333333,0.0365903426493,0.9959,0.8434
0.998632865904,0.14584415815,0.2,16,0.0315067762191,0.853366666667,0.0369306590049,0.9979,0.853133333333
