recall_of_C,mean_relative_error_of_A,eb_now,iteration,mean_relative_error_overall,invocation_truly,mean_relative_error_of_A_with_C,accuracy_of_C,invocation_of_C
1.0,0.401755686474,0.1,0,0.00272900200299,0.215088757396,0.0126356531097,0.999112426035,0.215976331361
1.0,0.470300668573,0.1,1,0.00256595939483,0.215384615385,0.0118807434993,0.999408284024,0.215976331361
1.0,0.451931820463,0.1,2,0.00256108067525,0.215384615385,0.0118581543594,0.999408284024,0.215976331361
1.0,0.437586546497,0.1,3,0.00256478637284,0.215384615385,0.0118753122468,0.999408284024,0.215976331361
1.0,0.473648476116,0.1,4,0.00253494237702,0.215384615385,0.0117532307741,0.999704142012,0.215680473373
1.0,0.48246434301,0.1,5,0.00253279583578,0.215384615385,0.0117432783607,0.999704142012,0.215680473373
1.0,0.479148093698,0.1,6,0.00252958718238,0.215384615385,0.0117284014766,0.999704142012,0.215680473373
1.0,0.474856917836,0.1,7,0.00252897872096,0.215384615385,0.0117255803523,0.999704142012,0.215680473373
1.0,0.470387568098,0.1,8,0.00252909131704,0.215384615385,0.0117261024027,0.999704142012,0.215680473373
1.0,0.464073492363,0.1,9,0.00253237033018,0.215384615385,0.0117413055089,0.999704142012,0.215680473373
1.0,0.456813505638,0.2,10,0.00533768334843,0.23550295858,0.0226650373338,1.0,0.23550295858
1.0,0.439683044358,0.2,11,0.0113588455711,0.268047337278,0.0423295457887,0.999704142012,0.268343195266
1.0,0.483174545198,0.2,12,0.0113420050609,0.268343195266,0.04226678843,1.0,0.268343195266
1.0,0.485433458479,0.2,13,0.011327881899,0.268343195266,0.0422141574627,1.0,0.268343195266
1.0,0.486094696363,0.2,14,0.0113685386764,0.268343195266,0.042365667835,1.0,0.268343195266
1.0,0.476632806719,0.2,15,0.011228194025,0.267159763314,0.0420280130724,1.0,0.267159763314
1.0,0.467415093129,0.2,16,0.0113271895681,0.268343195266,0.0422115774422,1.0,0.268343195266
1.0,0.460394248217,0.2,17,0.0113055525088,0.268343195266,0.0421309454021,1.0,0.268343195266
1.0,0.450100357559,0.2,18,0.011321746588,0.268343195266,0.0421912937899,1.0,0.268343195266
1.0,0.43295929791,0.2,19,0.0112218101114,0.267159763314,0.042004117582,1.0,0.267159763314
1.0,0.412671475292,0.3,20,0.021365868705,0.30650887574,0.0697071778213,1.0,0.30650887574
1.0,0.415737430001,0.3,21,0.0219038031712,0.309171597633,0.0708467509271,1.0,0.309171597633
1.0,0.414352673805,0.3,22,0.0219025443846,0.309171597633,0.070842679445,1.0,0.309171597633
1.0,0.452428675149,0.3,23,0.0219303458343,0.309171597633,0.0709326018372,1.0,0.309171597633
1.0,0.45374437978,0.3,24,0.021908823294,0.309171597633,0.0708629882619,1.0,0.309171597633
1.0,0.454362723524,0.3,25,0.0219628386631,0.309171597633,0.0710376982597,1.0,0.309171597633
1.0,0.454826191389,0.3,26,0.0219333914583,0.309171597633,0.0709424527552,1.0,0.309171597633
1.0,0.455059096161,0.3,27,0.0214420334974,0.307100591716,0.0698208797893,1.0,0.307100591716
0.999037536092,0.45626462414,0.3,28,0.0213280775204,0.307396449704,0.0694498092668,0.999704142012,0.307100591716
1.0,0.455910411576,0.3,29,0.0219290695406,0.309171597633,0.0709284737293,1.0,0.309171597633
1.0,0.454770130151,0.4,30,0.0231038221393,0.312721893491,0.0738797718363,1.0,0.312721893491
1.0,0.452195577691,0.4,31,0.0266822838104,0.323372781065,0.0824370377323,0.999704142012,0.323668639053
1.0,0.44234093222,0.4,32,0.0283095292327,0.328698224852,0.0861262005458,1.0,0.328698224852
1.0,0.431468312065,0.4,33,0.0473565131135,0.381360946746,0.124177668211,1.0,0.381360946746
1.0,0.421643101483,0.4,34,0.0511515811057,0.391715976331,0.130288126705,0.999112426035,0.392603550296
1.0,0.425221948791,0.4,35,0.053925091043,0.399408284024,0.134912514971,0.999704142012,0.399704142012
1.0,0.424157107871,0.4,36,0.0545314314337,0.400887573964,0.136026744093,1.0,0.400887573964
1.0,0.423528303028,0.4,37,0.0545857926061,0.400887573964,0.136162346132,1.0,0.400887573964
1.0,0.423019807538,0.4,38,0.0552563792119,0.40325443787,0.137026090782,1.0,0.40325443787
1.0,0.421747996108,0.4,39,0.0554522681399,0.403550295858,0.137411045684,1.0,0.403550295858
1.0,0.420878419805,0.35,40,0.0284748150811,0.32899408284,0.0865511465596,1.0,0.32899408284
1.0,0.431242981102,0.35,41,0.0290042995057,0.330769230769,0.0876874171103,1.0,0.330769230769
1.0,0.4306012824,0.35,42,0.0284185464183,0.32899408284,0.0863801141131,1.0,0.32899408284
1.0,0.431289666649,0.35,43,0.028396632294,0.32899408284,0.0863135046347,1.0,0.32899408284
1.0,0.430917745758,0.35,44,0.0283202951971,0.32899408284,0.0860814728114,1.0,0.32899408284
1.0,0.431067428369,0.35,45,0.0284504703126,0.32899408284,0.0864771489719,1.0,0.32899408284
1.0,0.431085319377,0.35,46,0.0283936583835,0.32899408284,0.0863044652305,1.0,0.32899408284
1.0,0.430902380871,0.35,47,0.0283274283739,0.32899408284,0.0861031545896,1.0,0.32899408284
1.0,0.430998540753,0.35,48,0.0283392079094,0.32899408284,0.0861389592929,1.0,0.32899408284
1.0,0.431306587448,0.35,49,0.0284437759171,0.32899408284,0.0864568008992,1.0,0.32899408284
