recall_of_C,mean_relative_error_of_A,eb_now,iteration,mean_relative_error_overall,invocation_truly,mean_relative_error_of_A_with_C,accuracy_of_C,invocation_of_C
0.838812301166,0.288581330428,0.1,0,0.204332407561,0.628666666667,0.263768168109,0.651333333333,0.774666666667
0.872959858844,0.219538289148,0.1,1,0.173767177718,0.755666666667,0.204512174639,0.714,0.849666666667
0.897065265002,0.242511525882,0.1,2,0.203108414847,0.761,0.231506551877,0.727,0.877333333333
0.901774123756,0.205267209779,0.1,3,0.176878951169,0.770333333333,0.198146696604,0.726333333333,0.892666666667
0.911587982833,0.19498783155,0.1,4,0.169309583599,0.776666666667,0.187843472928,0.738,0.901333333333
0.912348877375,0.20187879923,0.1,5,0.176135572207,0.772,0.194984028274,0.733333333333,0.903333333333
0.916412712233,0.209695569999,0.1,6,0.182820837853,0.765666666667,0.201789004253,0.731666666667,0.906
0.926882661996,0.234273881868,0.1,7,0.204444876732,0.761333333333,0.224253978134,0.738333333333,0.911666666667
0.925010836584,0.21600109202,0.1,8,0.187547253798,0.769,0.205869652907,0.742666666667,0.911
0.652941176471,0.333291369557,0.1,9,0.056619040781,0.283333333333,0.175653694253,0.764333333333,0.322333333333
0.695978552279,0.282261167743,0.05,10,0.0871413943513,0.621666666667,0.160382934389,0.700333333333,0.543333333333
