recall_of_C,mean_relative_error_of_A,eb_now,iteration,mean_relative_error_overall,invocation_truly,mean_relative_error_of_A_with_C,accuracy_of_C,invocation_of_C
1.0,0.30518733794,0.1,0,0.30518733794,0.541666666667,0.30518733794,0.541666666667,1.0
1.0,0.235991639086,0.1,1,0.235991639086,0.725333333333,0.235991639086,0.725333333333,1.0
1.0,0.232222815867,0.1,2,0.232222815867,0.735,0.232222815867,0.735,1.0
1.0,0.22891605565,0.1,3,0.22891605565,0.733666666667,0.22891605565,0.733666666667,1.0
1.0,0.245378228019,0.1,4,0.245378228019,0.726,0.245378228019,0.726,1.0
1.0,0.227723880632,0.1,5,0.227723880632,0.743666666667,0.227723880632,0.743666666667,1.0
1.0,0.224086976109,0.1,6,0.224086976109,0.743666666667,0.224086976109,0.743666666667,1.0
1.0,0.241234174054,0.1,7,0.241234174054,0.749666666667,0.241234174054,0.749666666667,1.0
1.0,0.240092830654,0.1,8,0.240092830654,0.711,0.240092830654,0.711,1.0
1.0,0.226622534484,0.1,9,0.226622534484,0.738,0.226622534484,0.738,1.0
1.0,0.246966746376,0.05,10,0.246966746376,0.653666666667,0.246966746376,0.653666666667,1.0
1.0,0.241190041073,0.05,11,0.241190041073,0.725666666667,0.241190041073,0.725666666667,1.0
1.0,0.243781364505,0.05,12,0.243781364505,0.725333333333,0.243781364505,0.725333333333,1.0
1.0,0.245274274719,0.05,13,0.245274274719,0.725666666667,0.245274274719,0.725666666667,1.0
1.0,0.244839512651,0.05,14,0.244839512651,0.725666666667,0.244839512651,0.725666666667,1.0
1.0,0.244008952827,0.05,15,0.244008952827,0.725666666667,0.244008952827,0.725666666667,1.0
1.0,0.243659054389,0.05,16,0.243659054389,0.725666666667,0.243659054389,0.725666666667,1.0
1.0,0.245251540977,0.05,17,0.245251540977,0.725666666667,0.245251540977,0.725666666667,1.0
1.0,0.243726898467,0.05,18,0.243726898467,0.725666666667,0.243726898467,0.725666666667,1.0
1.0,0.243587724065,0.05,19,0.243587724065,0.725666666667,0.243587724065,0.725666666667,1.0
1.0,0.244934971611,0.025,20,0.244934971611,0.725666666667,0.244934971611,0.725666666667,1.0
1.0,0.244833554865,0.025,21,0.244833554865,0.725666666667,0.244833554865,0.725666666667,1.0
1.0,0.243052500045,0.025,22,0.243052500045,0.725666666667,0.243052500045,0.725666666667,1.0
1.0,0.243546147949,0.025,23,0.243546147949,0.725666666667,0.243546147949,0.725666666667,1.0
1.0,0.243665379141,0.025,24,0.243665379141,0.725666666667,0.243665379141,0.725666666667,1.0
1.0,0.243877767524,0.025,25,0.243877767524,0.725333333333,0.243877767524,0.725333333333,1.0
1.0,0.242226222681,0.025,26,0.242226222681,0.725666666667,0.242226222681,0.725666666667,1.0
1.0,0.243921449778,0.025,27,0.243921449778,0.725666666667,0.243921449778,0.725666666667,1.0
1.0,0.24434740134,0.025,28,0.24434740134,0.725666666667,0.24434740134,0.725666666667,1.0
1.0,0.243475335235,0.025,29,0.243475335235,0.725666666667,0.243475335235,0.725666666667,1.0
1.0,0.244477004648,0.0125,30,0.244477004648,0.725333333333,0.244477004648,0.725333333333,1.0
1.0,0.243487809779,0.0125,31,0.243487809779,0.701,0.243487809779,0.701,1.0
1.0,0.243595431119,0.0125,32,0.243595431119,0.701,0.243595431119,0.701,1.0
1.0,0.243595569746,0.0125,33,0.243595569746,0.701,0.243595569746,0.701,1.0
1.0,0.243595528808,0.0125,34,0.243595528808,0.701,0.243595528808,0.701,1.0
1.0,0.24359557371,0.0125,35,0.24359557371,0.701,0.24359557371,0.701,1.0
1.0,0.243595528929,0.0125,36,0.243595528929,0.701,0.243595528929,0.701,1.0
1.0,0.243595398802,0.0125,37,0.243595398802,0.701,0.243595398802,0.701,1.0
1.0,0.243595229015,0.0125,38,0.243595229015,0.701,0.243595229015,0.701,1.0
1.0,0.243595206713,0.0125,39,0.243595206713,0.701,0.243595206713,0.701,1.0
1.0,0.243595385856,0.00625,40,0.243595385856,0.700666666667,0.243595385856,0.700666666667,1.0
1.0,0.243595255955,0.00625,41,0.243595255955,0.700666666667,0.243595255955,0.700666666667,1.0
1.0,0.243595207331,0.00625,42,0.243595207331,0.700666666667,0.243595207331,0.700666666667,1.0
1.0,0.243595414954,0.00625,43,0.243595414954,0.700666666667,0.243595414954,0.700666666667,1.0
1.0,0.243595145227,0.00625,44,0.243595145227,0.700666666667,0.243595145227,0.700666666667,1.0
1.0,0.243595249551,0.00625,45,0.243595249551,0.700666666667,0.243595249551,0.700666666667,1.0
1.0,0.243595104181,0.00625,46,0.243595104181,0.700666666667,0.243595104181,0.700666666667,1.0
1.0,0.243595146885,0.00625,47,0.243595146885,0.700666666667,0.243595146885,0.700666666667,1.0
1.0,0.243595147677,0.00625,48,0.243595147677,0.700666666667,0.243595147677,0.700666666667,1.0
1.0,0.243595161926,0.00625,49,0.243595161926,0.700666666667,0.243595161926,0.700666666667,1.0
