recall_of_C,mean_relative_error_of_A,eb_now,iteration,mean_relative_error_overall,invocation_truly,mean_relative_error_of_A_with_C,accuracy_of_C,invocation_of_C
0.826035502959,0.314335895838,0.1,0,0.214819271721,0.563333333333,0.287191539733,0.619333333333,0.748
0.846932698034,0.304304569606,0.1,1,0.199064199501,0.559666666667,0.267559407931,0.644333333333,0.744
0.803980699638,0.303048442908,0.1,2,0.141609956555,0.552666666667,0.229761963043,0.719666666667,0.616333333333
0.354166666667,0.329655356825,0.1,3,0.0258991484003,0.08,0.364776738032,0.905666666667,0.071
0.350877192982,0.360009176177,0.1,4,0.0354161078284,0.095,0.424993293941,0.888333333333,0.0833333333333
0.171052631579,0.358277913592,0.1,5,0.00755861245468,0.0506666666667,0.348859036369,0.945,0.0216666666667
0.0625,0.377215343322,0.1,6,0.00542396674429,0.0586666666667,0.38742619602,0.934666666667,0.014
0.0468085106383,0.380943566169,0.1,7,0.00469249418347,0.0783333333333,0.335178155961,0.915,0.014
0.0276816608996,0.364659740398,0.1,8,0.0054204947905,0.0963333333333,0.318852634735,0.892,0.017
0.0726817042606,0.377245725218,0.1,9,0.010068321264,0.133,0.363915226411,0.858666666667,0.0276666666667
0.923690205011,0.35654308414,0.2,10,0.287455526703,0.585333333333,0.334639728409,0.637,0.859
0.915662650602,0.33995278048,0.2,11,0.239964191394,0.581,0.297968780704,0.677666666667,0.805333333333
0.870793269231,0.352946839594,0.2,12,0.19123519185,0.554666666667,0.283451371319,0.736666666667,0.674666666667
0.936158503027,0.347816236457,0.2,13,0.286676058978,0.605666666667,0.328129788987,0.654666666667,0.873666666667
0.934290447267,0.337132563188,0.2,14,0.28001043946,0.603666666667,0.318797464281,0.646,0.878333333333
0.852173913043,0.355376303872,0.2,15,0.212380147497,0.575,0.307500213557,0.714333333333,0.690666666667
0.869288606131,0.340140965238,0.2,16,0.204432707583,0.576333333333,0.286320318744,0.711666666667,0.714
0.524867724868,0.363928057831,0.2,17,0.075525308175,0.315,0.263460377355,0.729,0.286666666667
0.846244825547,0.350867895996,0.2,18,0.199892860339,0.563666666667,0.292954851499,0.708,0.682333333333
0.495531281033,0.363208056131,0.2,19,0.0804659901379,0.335666666667,0.268219967126,0.697,0.3
0.465696465696,0.359936768223,0.15,20,0.0680175984874,0.320666666667,0.24496133909,0.700333333333,0.277666666667
0.517034068136,0.344595326635,0.15,21,0.0638046973987,0.332666666667,0.214589789458,0.714,0.297333333333
0.238317757009,0.382162130793,0.15,22,0.0151675470974,0.142666666667,0.239487585749,0.862,0.0633333333333
0.2,0.365464448088,0.15,23,0.0147827579907,0.145,0.219545910753,0.845666666667,0.0673333333333
0.190265486726,0.374843980208,0.15,24,0.0159530843887,0.150666666667,0.245432067519,0.841666666667,0.065
0.196850393701,0.357634083782,0.15,25,0.016429323962,0.169333333333,0.220035588776,0.822666666667,0.0746666666667
0.193486590038,0.368851945563,0.15,26,0.0163559562781,0.174,0.221026436191,0.819333333333,0.074
0.619133574007,0.361809230379,0.15,27,0.0967251671546,0.369333333333,0.250799914835,0.702333333333,0.385666666667
0.133971291866,0.390312367139,0.15,28,0.00987811239374,0.139333333333,0.238986590171,0.856666666667,0.0413333333333
0.174208144796,0.398819269114,0.15,29,0.0123759194997,0.147333333333,0.223661195778,0.848666666667,0.0553333333333
0.238095238095,0.408694418333,0.175,30,0.019517422514,0.168,0.230520738355,0.827333333333,0.0846666666667
0.297124600639,0.374319084698,0.175,31,0.0293458765891,0.208666666667,0.227487415419,0.786333333333,0.129
0.281399046105,0.375805973774,0.175,32,0.0282627964746,0.209666666667,0.23040323213,0.785666666667,0.122666666667
0.263754045307,0.377648678116,0.175,33,0.0294194610544,0.206,0.246531796545,0.783333333333,0.119333333333
0.301003344482,0.38793520688,0.175,34,0.0344289678695,0.199333333333,0.266203359816,0.791333333333,0.129333333333
0.247208931419,0.396830836114,0.175,35,0.0274358505644,0.209,0.260466935738,0.789,0.105333333333
0.3081232493,0.376500488845,0.175,36,0.0345334619464,0.238,0.23871056645,0.764,0.144666666667
0.33893557423,0.383620724704,0.175,37,0.0379865590148,0.238,0.248278163495,0.770333333333,0.153
0.346629986245,0.394784119805,0.175,38,0.0455577680562,0.242333333333,0.264870744513,0.753666666667,0.172
0.305865921788,0.408654025677,0.175,39,0.0378564088015,0.238666666667,0.269121389584,0.766666666667,0.140666666667
0.317897371715,0.411094026324,0.2,40,0.0459433023669,0.266333333333,0.285954164109,0.742333333333,0.160666666667
0.33932853717,0.38898313971,0.2,41,0.0519463545786,0.278,0.275334034869,0.722,0.188666666667
