recall_of_C,mean_relative_error_of_A,eb_now,iteration,mean_relative_error_overall,invocation_truly,mean_relative_error_of_A_with_C,accuracy_of_C,invocation_of_C
1.0,0.401232432871,0.075,0,0.00133658319323,0.201183431953,0.00664360469574,1.0,0.201183431953
1.0,0.453604130356,0.075,1,0.00124461012244,0.201183431953,0.00617736007905,0.999704142012,0.201479289941
1.0,0.469082896983,0.075,2,0.00122712755276,0.201183431953,0.00609058902838,0.999704142012,0.201479289941
1.0,0.474274841614,0.075,3,0.00119483708647,0.201183431953,0.0059390431651,1.0,0.201183431953
1.0,0.476501732543,0.075,4,0.00119017587887,0.201183431953,0.00591587422143,1.0,0.201183431953
1.0,0.477431561087,0.075,5,0.00120990018297,0.201183431953,0.00600508460856,0.999704142012,0.201479289941
1.0,0.477597283323,0.075,6,0.00120789352799,0.201183431953,0.00599512499943,0.999704142012,0.201479289941
1.0,0.477260890162,0.075,7,0.00118359804706,0.201183431953,0.00588317852805,1.0,0.201183431953
1.0,0.47656953097,0.075,8,0.00118253031439,0.201183431953,0.00587787126858,1.0,0.201183431953
1.0,0.475625845466,0.075,9,0.00118172299255,0.201183431953,0.00587385840413,1.0,0.201183431953
