recall_of_C,mean_relative_error_of_A,eb_now,iteration,mean_relative_error_overall,invocation_truly,mean_relative_error_of_A_with_C,accuracy_of_C,invocation_of_C
1.0,0.401140318937,0.1,0,0.00277879642169,0.215384615385,0.0128662080895,0.999408284024,0.215976331361
1.0,0.401061981303,0.1,1,0.00273678612959,0.215384615385,0.0126716946822,0.999408284024,0.215976331361
1.0,0.400971907735,0.1,2,0.00272894514576,0.215384615385,0.012635389853,0.999408284024,0.215976331361
1.0,0.400845183726,0.1,3,0.00268055833381,0.215384615385,0.0124283774599,0.999704142012,0.215680473373
1.0,0.400740435017,0.1,4,0.00266271897998,0.215384615385,0.0123456655039,0.999704142012,0.215680473373
1.0,0.400707323313,0.1,5,0.0026494125402,0.215384615385,0.012283970351,0.999704142012,0.215680473373
1.0,0.400697079632,0.1,6,0.00264060221853,0.215384615385,0.0122431213973,0.999704142012,0.215680473373
1.0,0.400693321051,0.1,7,0.00263489464129,0.215384615385,0.012216658282,0.999704142012,0.215680473373
1.0,0.400690164143,0.1,8,0.0026312031084,0.215384615385,0.0121995425328,0.999704142012,0.215680473373
1.0,0.400687857451,0.1,9,0.00262875425946,0.215384615385,0.0121881884732,0.999704142012,0.215680473373
